dataset,kind,severity,seed,config,err_pitch,paste2_err,beats_paste2,n,pitch,seconds,status,timestamp,detail
Br5292,dlpfc,0.0,0,selfsup_clean,14.4336,4.8629,False,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,selfsup_leak,1.1287,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,combo_gated_selfsup,8.0806,4.8629,False,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,1.0,0,paste2,4.8652,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid,3.2696,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid_cv,3.2621,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_affine,3.1805,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_quad,3.1751,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid_thr2,4.6312,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid_thr3,4.3119,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid_thr6,2.2408,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,gated_rigid_thr8,2.0322,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,selfsup_clean,14.4336,4.8652,False,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,selfsup_leak,1.128,4.8652,True,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,1.0,0,combo_gated_selfsup,8.0618,4.8652,False,4182,137.0,,ok,2026-07-17T10:59:53Z,
Br5292,dlpfc,2.0,0,paste2,5.0409,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid,3.8422,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid_cv,3.8561,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_affine,3.4307,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_quad,3.4881,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid_thr2,4.8941,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid_thr3,4.6531,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid_thr6,2.9632,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,gated_rigid_thr8,2.7858,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,selfsup_clean,14.4336,5.0409,False,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,selfsup_leak,1.1386,5.0409,True,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,2.0,0,combo_gated_selfsup,8.1857,5.0409,False,4182,137.0,,ok,2026-07-17T11:02:58Z,
Br5292,dlpfc,3.0,0,paste2,5.2332,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid,4.4751,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid_cv,4.4788,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_affine,3.8798,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_quad,3.9853,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid_thr2,5.1721,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid_thr3,5.0032,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid_thr6,3.7359,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,gated_rigid_thr8,3.7794,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,selfsup_clean,14.4336,5.2332,False,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,selfsup_leak,1.1522,5.2332,True,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,3.0,0,combo_gated_selfsup,8.2841,5.2332,False,4182,137.0,,ok,2026-07-17T11:06:47Z,
Br5292,dlpfc,4.0,0,paste2,5.3326,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid,4.9725,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid_cv,4.9696,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_affine,4.2464,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_quad,4.3947,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid_thr2,5.2889,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid_thr3,5.2431,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid_thr6,4.3646,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,gated_rigid_thr8,4.5753,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,selfsup_clean,14.4336,5.3326,False,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,selfsup_leak,1.1749,5.3326,True,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,4.0,0,combo_gated_selfsup,8.4664,5.3326,False,4182,137.0,,ok,2026-07-17T11:10:15Z,
Br5292,dlpfc,6.0,0,paste2,5.6744,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid,5.6281,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid_cv,5.6296,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_affine,5.0243,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_quad,5.1562,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid_thr2,5.6787,5.6744,False,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid_thr3,5.6697,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid_thr6,5.3581,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,gated_rigid_thr8,5.2425,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,selfsup_clean,14.4336,5.6744,False,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,selfsup_leak,1.2397,5.6744,True,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,6.0,0,combo_gated_selfsup,8.6877,5.6744,False,4182,137.0,,ok,2026-07-17T11:13:43Z,
Br5292,dlpfc,8.0,0,paste2,6.1221,6.1221,True,4182,137.0,,ok,2026-07-17T11:18:19Z,
Br5292,dlpfc,8.0,0,gated_rigid,6.0954,6.1221,True,4182,137.0,,ok,2026-07-17T11:18:19Z,
Br5292,dlpfc,8.0,0,gated_rigid_cv,6.0948,6.1221,True,4182,137.0,,ok,2026-07-17T11:18:19Z,
Br5292,dlpfc,8.0,0,gated_affine,5.6552,6.1221,True,4182,137.0,,ok,2026-07-17T11:18:19Z,
Br5292,dlpfc,8.0,0,gated_quad,5.7393,6.1221,True,4182,137.0,,ok,2026-07-17T11:18:19Z,
Br5292,dlpfc,8.0,0,gated_rigid_thr2,6.1221,6.1221,False,4182,137.0,,ok,2026-07-17T11:18:19Z,
