experiment,method,chain_len,severity,seed,edge_band,gate,metric,value,runtime_s,n_edges,note
controlled,global_adj,8,3,1,1,,terminal_err,197.90128045346606,0.00038640000275336206,7,
controlled,global_band,8,3,1,3,,terminal_err,96.67920538451712,0.0006253000028664246,18,
controlled,global_full,8,3,1,7,,terminal_err,69.40281152743675,0.0007621999975526705,28,
controlled,pairwise_chain,8,3,1,1,,mean_err,120.57821092301724,9.2999980552122e-06,7,
controlled,global_band,8,3,1,3,,mean_err,74.9684468497101,0.0006253000028664246,18,
controlled,global_full,8,3,1,7,,mean_err,53.833962489934194,0.0007621999975526705,28,
controlled,pairwise_chain,8,3,2,1,,terminal_err,297.87890250513624,6.400005077011883e-06,7,
controlled,global_adj,8,3,2,1,,terminal_err,297.87890250514414,0.00022780000290367752,7,
controlled,global_band,8,3,2,3,,terminal_err,78.81531232266875,0.0005489000031957403,18,
controlled,global_full,8,3,2,7,,terminal_err,65.68764298603072,0.0007322000019485131,28,
controlled,pairwise_chain,8,3,2,1,,mean_err,176.76722939677336,6.400005077011883e-06,7,
controlled,global_band,8,3,2,3,,mean_err,61.624937859645705,0.0005489000031957403,18,
controlled,global_full,8,3,2,7,,mean_err,50.756861705880894,0.0007322000019485131,28,
controlled,pairwise_chain,8,3,3,1,,terminal_err,206.04946481647968,8.700008038431406e-06,7,
controlled,global_adj,8,3,3,1,,terminal_err,206.04946481648298,0.0002480999974068254,7,
controlled,global_band,8,3,3,3,,terminal_err,83.64720017632696,0.000559899999643676,18,
controlled,global_full,8,3,3,7,,terminal_err,39.26622023643298,0.0006872000085422769,28,
controlled,pairwise_chain,8,3,3,1,,mean_err,145.7746071007071,8.700008038431406e-06,7,
controlled,global_band,8,3,3,3,,mean_err,61.2708878170111,0.000559899999643676,18,
controlled,global_full,8,3,3,7,,mean_err,38.712278386600346,0.0006872000085422769,28,
controlled,pairwise_chain,8,3,4,1,,terminal_err,374.27595050777825,5.599998985417187e-06,7,
controlled,global_adj,8,3,4,1,,terminal_err,374.2759505077838,0.00023450001026503742,7,
controlled,global_band,8,3,4,3,,terminal_err,87.59986630608113,0.0006014999962644652,18,
controlled,global_full,8,3,4,7,,terminal_err,41.41066520665045,0.0008603000023867935,28,
controlled,pairwise_chain,8,3,4,1,,mean_err,220.6773424828073,5.599998985417187e-06,7,
controlled,global_band,8,3,4,3,,mean_err,59.582809608131925,0.0006014999962644652,18,
controlled,global_full,8,3,4,7,,mean_err,43.263818166028365,0.0008603000023867935,28,
controlled,pairwise_chain,12,3,0,1,,terminal_err,234.18076256132593,6.800008122809231e-06,11,
controlled,global_adj,12,3,0,1,,terminal_err,234.18076256131786,0.0003466000052867457,11,
controlled,global_band,12,3,0,3,,terminal_err,82.6595587437038,0.0009227999980794266,30,
controlled,global_full,12,3,0,11,,terminal_err,55.94671666024303,0.0017111000051954761,66,
controlled,pairwise_chain,12,3,0,1,,mean_err,121.8794900287405,6.800008122809231e-06,11,
controlled,global_band,12,3,0,3,,mean_err,71.01743307726188,0.0009227999980794266,30,
controlled,global_full,12,3,0,11,,mean_err,47.20452924026739,0.0017111000051954761,66,
