dataset,tissue,kind,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored,runtime_s
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,3.0,sutura,2,2020.88,14.751,2139.56,3492.46,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,4.0,sutura,2,2032.29,14.834,2137.01,3485.73,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,6.0,sutura,2,2040.69,14.896,2136.14,3470.8,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,8.0,sutura,2,2049.32,14.959,2150.96,3483.03,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,0.0,paste2,0,737.21,5.381,769.74,1095.03,137.0,2923,69.72
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,4.0,paste2,0,742.73,5.421,783.21,1134.65,137.0,2923,61.1
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,8.0,paste2,0,763.04,5.57,809.88,1205.94,137.0,2924,72.04
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,0.0,sutura,0,5488.59,20.105,5489.86,8732.0,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,1.0,sutura,0,5491.82,20.117,5489.87,8741.45,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,2.0,sutura,0,5474.66,20.054,5482.01,8750.41,273.0,3615,0.08
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,3.0,sutura,0,5479.62,20.072,5478.4,8749.78,273.0,3615,0.12
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,4.0,sutura,0,5502.34,20.155,5476.93,8740.92,273.0,3615,0.1
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,6.0,sutura,0,5470.88,20.04,5462.43,8746.0,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,8.0,sutura,0,5507.95,20.176,5501.87,8746.74,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,0.0,sutura,1,5474.31,20.052,5489.94,8727.52,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,1.0,sutura,1,5475.68,20.057,5489.72,8731.16,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,2.0,sutura,1,5469.35,20.034,5486.31,8720.09,273.0,3615,0.11
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,3.0,sutura,1,5479.63,20.072,5488.18,8719.13,273.0,3615,0.1
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,4.0,sutura,1,5487.32,20.1,5494.34,8721.65,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,6.0,sutura,1,5477.27,20.063,5491.86,8715.66,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,8.0,sutura,1,5481.73,20.08,5492.6,8733.67,273.0,3615,0.08
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,0.0,sutura,2,5488.59,20.105,5492.76,8738.39,273.0,3615,0.11
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,1.0,sutura,2,5489.85,20.109,5491.94,8740.67,273.0,3615,0.1
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,2.0,sutura,2,5462.23,20.008,5486.27,8745.4,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,3.0,sutura,2,5447.93,19.956,5484.71,8743.7,273.0,3615,0.08
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,4.0,sutura,2,5443.23,19.939,5480.7,8742.8,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,6.0,sutura,2,5456.61,19.988,5492.94,8734.06,273.0,3615,0.09
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,8.0,sutura,2,5501.3,20.151,5516.52,8735.84,273.0,3615,0.11
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,0.0,paste2,0,947.14,3.469,1040.74,1834.73,273.0,3592,145.46
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,4.0,paste2,0,985.35,3.609,1135.77,2069.26,273.0,3589,147.02
BreastCancer_BlockA,human breast cancer,"cross-tissue, non-neural",cross,8.0,paste2,0,1081.96,3.963,1300.31,2457.6,273.0,3595,166.79
